County Code,District Code,School Code,County Name,District Name,School Name,Grade Span,StudentDeviceRation,InternetSpeed,RecommendedInternetSpeed,MetRecommendedSpeed,ConnectivityBetweenSchools,RecommendedConnectivity,MetRecommendedConnectivity,ValidScores_Math,ParticipationPercent_Math,SchoolPerformance_Math,DistrictPerformance_Math,StatePerformance_Math,ProfRateFederalAccountability_Math,AnnualTarget_Math,MetTarget_Math,ValidScores_ELA,ParticipationPercent_ELA,SchoolPerformance_ELA,DistrictPerformance_ELA,StatePerformance_ELA,ProfRateFederalAccountability_ELA,AnnualTarget_ELA,MetTarget_ELA,Percent_white,Percent_blck,Percent_hisp,Percent_asian,Percent_econdis
80,7290,957,CHARTERS,New Horizons Comm. CS,New Horizons Community Charter School,KG-06,1:0.8,39.9,100 kbps,No,N,Fiber,No,219,97.9,22.80,22.80,43.5,22.8,39.3,Not Met,219,97.9,34.70,34.70,54.9,34.7,39.3,Met Target†,0.2,89.8,10.0,,97.8
9,3130,50,CAPE MAY,MIDDLE TWP,Middle Township High School,09-12,1:0.2,39.9,100 kbps,No,N,Fiber,No,327,92.4,17.70,32.20,43.5,17.3,15.6,Met Target,336,94.9,26.50,40.90,54.9,26.5,30,Met Target†,65.8,18.8,11.3,1.5,36.0
9,3130,85,CAPE MAY,MIDDLE TWP,Middle Township Elementary #2,03-05,1:0.3,39.9,100 kbps,No,N,Fiber,No,522,99.6,45.80,32.20,43.5,45.8,46.2,Met Target†,525,99.8,50.90,40.90,54.9,50.9,44.8,Met Target,62.0,19.5,14.5,3.5,53.4
9,3130,91,CAPE MAY,MIDDLE TWP,Middle Township Elementary #4,06-08,1:0.3,39.9,100 kbps,No,N,Fiber,No,543,97.5,27.60,32.20,43.5,27.6,36.4,Not Met,542,97.1,40.10,40.90,54.9,40.1,42.7,Met Target†,67.4,15.8,13.9,2.6,44.1
7,5820,30,CAMDEN,WINSLOW TWP,Winslow Township Elementary School One,PK-03,1:0.5,40.9,100 kbps,No,N,Fiber,No,66,94.9,27.30,28.20,43.5,27.1,56.3,Not Met,66,94.8,27.20,38.60,54.9,27.1,51.6,Not Met,28.5,42.2,21.6,2.2,51.8
7,5820,40,CAMDEN,WINSLOW TWP,Winslow Township Elementary School Two,PK-03,1:0.5,40.9,100 kbps,No,N,Fiber,No,75,97.8,42.70,28.20,43.5,42.7,41.7,Met Target,75,97.8,38.60,38.60,54.9,38.6,35.9,Met Target,35.6,38.3,19.1,2.7,50.5
7,5820,50,CAMDEN,WINSLOW TWP,Winslow Township Elementary School Three,PK-03,1:0.5,40.9,100 kbps,No,N,Fiber,No,104,98.3,39.40,28.20,43.5,39.4,46.5,Met Target†,104,98.3,35.60,38.60,54.9,35.6,40.3,Met Target†,14.3,59.9,17.7,1.4,46.6
7,5820,60,CAMDEN,WINSLOW TWP,Winslow Township Elementary School Four,PK-03,1:0.4,40.9,100 kbps,No,N,Fiber,No,92,99.0,55.40,28.20,43.5,55.4,47.2,Met Target,92,99.0,59.80,38.60,54.9,59.8,55.8,Met Target,22.2,53.8,14.7,5.4,43.1
7,5820,70,CAMDEN,WINSLOW TWP,Winslow Township Elementary School Five,04-06,1:0.7,40.9,100 kbps,No,N,Fiber,No,489,95.2,35.80,28.20,43.5,35.8,35.2,Met Target,490,95.4,38.40,38.60,54.9,38.4,35.3,Met Target,29.9,49.2,15.3,3.3,52.3
7,5820,80,CAMDEN,WINSLOW TWP,Winslow Township Elementary School Six,04-06,1:0.7,40.9,100 kbps,No,N,Fiber,No,432,95.4,36.80,28.20,43.5,36.8,31.6,Met Target,431,95.2,40.80,38.60,54.9,40.8,34.8,Met Target,17.9,61.6,11.9,3.2,50.5
7,5820,10,CAMDEN,WINSLOW TWP,Winslow Township High School,09-12,1:0.5,40.9,100 kbps,No,N,Fiber,No,465,79.4,12.90,28.20,43.5,10.7,14.6,Not Met,451,82.7,32.00,38.60,54.9,27.5,25,Met Target,19.2,63.7,12.1,3.4,48.2
7,5820,20,CAMDEN,WINSLOW TWP,Winslow Township Middle School,07-08,1:0.6,40.9,100 kbps,No,N,Fiber,No,668,96.0,20.60,28.20,43.5,20.6,26.1,Not Met,667,95.5,40.50,38.60,54.9,40.5,43.1,Met Target†,20.3,62.2,12.3,3.3,54.4
19,910,30,HUNTERDON,CLINTON TOWN,Clinton Public School,PK-08,1:1.0,44.1,100 kbps,No,N,Fiber,No,281,97.7,63.00,63.00,43.5,63,65.9,Met Target†,282,97.7,68.80,68.80,54.9,68.8,63.8,Met Target,75.8,2.6,13.0,7.0,11.9
80,6059,941,CHARTERS,Newark Prep Charter School,Newark Prep Charter School,09-12,1:1.3,46.6,100 kbps,No,N,Fiber,No,25,88.5,*,*,43.5,*,7.1,Not Met,23,87.1,*,*,54.9,*,12.1,Not Met,0.2,77.4,19.8,0.2,100.0
7,2890,50,CAMDEN,MAGNOLIA BORO,Magnolia,PK-08,1:0.7,46.7,100 kbps,No,N,Fiber,No,250,97.3,37.20,37.20,43.5,37.2,29.6,Met Target,248,96.5,50.80,50.80,54.9,50.8,39.1,Met Target,55.4,20.1,16.1,2.6,43.5
17,4730,65,HUDSON,SECAUCUS TOWN,CLARENDON NO 4,PK-05,1:0.3,47.3,100 kbps,No,N,Fiber,No,221,98.0,47.00,46.10,43.5,47,53.1,Not Met,221,97.5,66.10,62.40,54.9,66.1,54.5,Met Target,35.5,3.6,31.0,27.9,26.8
17,4730,70,HUDSON,SECAUCUS TOWN,HUBER ST NO 3,PK-05,1:0.4,47.3,100 kbps,No,N,Fiber,No,222,98.0,55.00,46.10,43.5,55,57.1,Met Target†,222,98.0,61.20,62.40,54.9,61.2,61.3,Met Target†,33.8,3.9,26.9,33.6,23.9
17,4730,50,HUDSON,SECAUCUS TOWN,SECAUCUS HIGH SCHOOL,09-12,1:0.4,47.3,100 kbps,No,N,Fiber,No,295,100.0,35.60,46.10,43.5,35.6,34.9,Met Target,306,100.0,52.30,62.40,54.9,52.3,52.3,Met Target,42.8,3.4,28.8,23.9,31.3
17,4730,80,HUDSON,SECAUCUS TOWN,SECAUCUS MIDDLE SCHOOL,06-08,1:0.3,47.3,100 kbps,No,N,Fiber,No,429,98.5,48.30,46.10,43.5,48.3,51.9,Met Target†,429,98.5,68.30,62.40,54.9,68.3,51.6,Met Target,40.7,4.8,31.8,22.2,29.4
21,5510,30,MERCER,ROBBINSVILLE TWP,Robbinsville High School,09-12,1:0.5,48.6,100 kbps,No,N,Fiber,No,420,96.3,43.10,60.70,43.5,43.1,41,Met Target,457,96.0,68.70,69.30,54.9,68.7,61.6,Met Target,71.6,3.3,3.7,20.8,3.3
21,5510,40,MERCER,ROBBINSVILLE TWP,Pond Road Middle School,05-08,1:0.9,48.6,100 kbps,No,N,Fiber,No,935,98.6,67.30,60.70,43.5,67.3,62.1,Met Target,933,98.2,71.10,69.30,54.9,71.1,66.6,Met Target,62.3,2.3,4.8,29.4,2.5
21,5510,50,MERCER,ROBBINSVILLE TWP,Sharon School,PK-04,1:0.8,48.6,100 kbps,No,N,Fiber,No,419,98.7,63.70,60.70,43.5,63.7,67.5,Met Target†,419,98.7,66.10,69.30,54.9,66.1,68.7,Met Target†,60.1,1.5,4.5,31.2,2.8
5,4320,50,BURLINGTON,RANCOCAS VALLEY REGIONAL,Rancocas Valley Regional High School,09-12,1:0.3,49.0,100 kbps,No,Copper,Fiber,No,923,97.6,49.50,49.50,43.5,49.5,40.8,Met Target,964,96.9,54.40,54.40,54.9,54.4,50.6,Met Target,55.7,26.4,10.1,7.0,23.0
29,770,50,OCEAN,CENTRAL REGIONAL,Central Regional Middle School,07-08,1:0.9,49.7,100 kbps,No,N,Fiber,No,658,96.4,38.90,35.60,43.5,38.9,41.4,Met Target†,660,96.6,47.10,43.20,54.9,47.1,44.1,Met Target,75.7,4.6,15.0,0.9,32.9
29,770,30,OCEAN,CENTRAL REGIONAL,Central Regional High School,09-12,1:1.0,49.7,100 kbps,No,N,Fiber,No,545,97.1,31.60,35.60,43.5,31.6,33,Met Target†,594,97.7,38.90,43.20,54.9,38.9,33.3,Met Target,72.3,6.3,14.9,2.2,32.5
25,2230,20,MONMOUTH,HOLMDEL TWP,Holmdel High School,09-12,1:1.2,49.9,100 kbps,No,N,Fiber,No,435,96.0,42.00,62.80,43.5,42,38.1,Met Target,463,97.3,56.20,75.00,54.9,56.2,56.1,Met Target,72.7,1.3,4.1,17.3,4.1
25,2230,50,MONMOUTH,HOLMDEL TWP,Indian Hill School,04-06,1:1.2,49.9,100 kbps,No,N,Fiber,No,729,99.3,65.90,62.80,43.5,65.9,67.1,Met Target†,722,98.9,82.10,75.00,54.9,82.1,80,Met Goal,68.1,1.5,2.6,18.4,4.8
25,2230,80,MONMOUTH,HOLMDEL TWP,Village School,PK-03,1:0.7,49.9,100 kbps,No,N,Fiber,No,227,97.8,80.60,62.80,43.5,80.6,79.7,Met Goal,227,97.8,76.20,75.00,54.9,76.2,76.9,Met Target†,72.2,0.8,4.8,17.4,1.3
25,2230,30,MONMOUTH,HOLMDEL TWP,William R. Satz School,07-08,1:1.3,49.9,100 kbps,No,N,Fiber,No,513,98.3,68.00,62.80,43.5,68,66.8,Met Target,514,98.7,81.10,75.00,54.9,81.1,76.4,Met Goal,74.2,1.3,2.9,19.3,3.6
80,7720,915,CHARTERS,The Red Bank CS,Red Bank Charter School,PK-08,1:0.5,50.0,100 kbps,No,N,Fiber,No,107,100.0,46.70,46.70,43.5,46.7,40.7,Met Target,107,100.0,58.90,58.90,54.9,58.9,50.6,Met Target,43.5,12.0,42.5,2.0,42.5
13,1210,35,ESSEX,EAST ORANGE,East Orange Campus High School,09-12,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,558,85.1,*,20.80,43.5,*,4.5,Not Met,529,89.9,*,37.30,54.9,*,12.6,Not Met,0.2,90.8,8.6,0.1,79.3
13,1210,190,ESSEX,EAST ORANGE,Johnnie L. Cochran Jr. Academy,KG-05,1:0.7,50.7,100 kbps,No,Fiber,Fiber,Yes,94,94.8,55.30,20.80,43.5,54.8,41,Met Target,94,94.8,62.70,37.30,54.9,62.1,50.6,Met Target,0.5,94.3,5.2,,80.9
13,1210,170,ESSEX,EAST ORANGE,J. Garfield Jackson Sr. Academy,KG-05,1:0.6,50.7,100 kbps,No,Fiber,Fiber,Yes,112,100.0,41.00,20.80,43.5,41,36.4,Met Target,112,100.0,58.00,37.30,54.9,58,45.5,Met Target,0.4,96.0,3.2,,85.9
13,1210,150,ESSEX,EAST ORANGE,Cicely L. Tyson Community Middle/High School,06-12,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,515,99.2,24.90,20.80,43.5,24.9,17.6,Met Target,512,99.0,50.50,37.30,54.9,50.5,43.1,Met Target,0.3,93.6,6.1,,79.8
13,1210,140,ESSEX,EAST ORANGE,Cicely L. Tyson Community Elementary School,PK-05,1:0.2,50.7,100 kbps,No,Fiber,Fiber,Yes,203,96.7,27.60,20.80,43.5,27.6,34.5,Not Met,203,96.7,36.90,37.30,54.9,36.9,44.9,Not Met,0.2,94.9,4.5,0.2,92.9
13,1210,135,ESSEX,EAST ORANGE,Sojourner Truth Middle School,06-08,1:0.5,50.7,100 kbps,No,Fiber,Fiber,Yes,334,96.7,11.40,20.80,43.5,11.4,11.1,Met Target,332,97.4,19.60,37.30,54.9,19.6,24.7,Not Met,0.5,90.5,8.5,,87.3
13,1210,130,ESSEX,EAST ORANGE,Gordon Parks Academy,PK-05,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,115,95.3,16.60,20.80,43.5,16.6,24,Not Met,115,95.3,27.90,37.30,54.9,27.9,28.1,Met Target†,0.7,94.5,4.8,,93.5
13,1210,110,ESSEX,EAST ORANGE,Dionne Warwick Institute,PK-05,1:0.4,50.7,100 kbps,No,Fiber,Fiber,Yes,181,100.0,31.00,20.80,43.5,31,29.6,Met Target,181,100.0,48.10,37.30,54.9,48.1,36.6,Met Target,0.2,90.2,8.9,,92.6
13,1210,100,ESSEX,EAST ORANGE,Mildred Barry Garvin Elementary,PK-05,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,134,97.7,20.20,20.80,43.5,20.2,26.6,Not Met,134,98.3,34.40,37.30,54.9,34.4,33.3,Met Target,,95.6,3.9,,93.1
13,1210,95,ESSEX,EAST ORANGE,Patrick F. Healy Middle School,06-08,1:1.0,50.7,100 kbps,No,Fiber,Fiber,Yes,296,98.7,*,20.80,43.5,*,10.7,Not Met,298,98.6,12.10,37.30,54.9,12.1,20,Not Met,0.5,92.6,6.8,,91.3
13,1210,93,ESSEX,EAST ORANGE,Benjamin Banneker Academy,PK-05,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,175,97.3,28.60,20.80,43.5,28.6,35.8,Not Met,174,96.8,48.20,37.30,54.9,48.2,49.4,Met Target†,,97.4,1.7,,85.8
13,1210,80,ESSEX,EAST ORANGE,Langston Hughes Elementary School,PK-05,1:0.4,50.7,100 kbps,No,Fiber,Fiber,Yes,242,98.1,29.30,20.80,43.5,29.3,28.9,Met Target,243,98.9,42.80,37.30,54.9,42.8,34.8,Met Target,0.2,96.1,3.2,,87.2
13,1210,70,ESSEX,EAST ORANGE,John L. Costley Middle School,06-08,1:1.2,50.7,100 kbps,No,Fiber,Fiber,Yes,313,99.7,*,20.80,43.5,*,13.4,Not Met,316,99.5,35.40,37.30,54.9,35.4,29.2,Met Target,0.5,90.2,8.8,,89.2
13,1210,60,ESSEX,EAST ORANGE,George Washington Carver Institute,PK-05,1:0.3,50.7,100 kbps,No,Fiber,Fiber,Yes,125,83.1,45.60,20.80,43.5,39.7,34.3,Met Target,125,83.1,63.20,37.30,54.9,55,46.8,Met Target,1.5,91.2,7.3,,88.3
13,1210,50,ESSEX,EAST ORANGE,"Edward T. Bowser, Sr. School of Excellence",PK-05,1:0.5,50.7,100 kbps,No,Fiber,Fiber,Yes,254,99.3,30.30,20.80,43.5,30.3,32.5,Met Target†,254,99.3,38.20,37.30,54.9,38.2,35.8,Met Target,1.0,72.7,26.1,0.2,91.7
13,1210,30,ESSEX,EAST ORANGE,East Orange STEM Academy High School,06-12,1:0.5,50.7,100 kbps,No,Fiber,Fiber,Yes,344,98.5,28.20,20.80,43.5,28.2,43.9,Not Met,346,98.9,65.10,37.30,54.9,65.1,64.8,Met Target,0.6,93.6,5.3,0.2,83.5
13,1210,90,ESSEX,EAST ORANGE,Whitney E. Houston Academy,PK-08,1:0.5,50.7,100 kbps,No,Fiber,Fiber,Yes,210,98.9,20.50,20.80,43.5,20.5,17,Met Target,210,98.9,40.90,37.30,54.9,40.9,34.1,Met Target,,94.4,5.3,,81.2
13,1210,120,ESSEX,EAST ORANGE,Ecole Toussaint Louverture,PK-05,1:0.6,50.7,100 kbps,No,Fiber,Fiber,Yes,103,92.5,35.00,20.80,43.5,34.1,35.1,Met Target†,103,92.5,38.80,37.30,54.9,37.9,42.9,Met Target†,0.3,96.6,2.0,0.7,95.9
5,610,30,BURLINGTON,BURLINGTON CO VOCATIONAL,BURLINGTON COUNTY INST OF TECH - Westhampton,09-12,1:0.8,51.3,100 kbps,No,Fiber,Fiber,Yes,602,97.0,28.20,25.10,43.5,28.2,25.9,Met Target,608,97.5,39.60,36.50,54.9,39.6,44.3,Not Met,21.2,50.3,17.5,2.7,49.0
5,610,40,BURLINGTON,BURLINGTON CO VOCATIONAL,BURLINGTON COUNTY INST OF TECH - Medford,09-12,1:0.9,51.3,100 kbps,No,Fiber,Fiber,Yes,382,98.0,20.20,25.10,43.5,20.2,16,Met Target,384,98.5,31.50,36.50,54.9,31.5,28.9,Met Target,56.5,18.9,16.4,0.9,37.5
80,7115,960,CHARTERS,Learning Community CS,Learning Community Charter School,PK-08,1:0.2,51.4,100 kbps,No,N,Fiber,No,333,99.2,55.50,55.50,43.5,55.5,51.2,Met Target,333,99.2,69.90,69.90,54.9,69.9,65.7,Met Target,29.5,17.3,19.9,25.2,33.4
5,2610,40,BURLINGTON,LENAPE REGIONAL,Cherokee High School,09-12,1:0.5,52.1,100 kbps,No,N,Fiber,No,977,98.8,35.20,38.10,43.5,35.2,35.3,Met Target†,1023,98.1,53.60,54.30,54.9,53.6,53.5,Met Target,81.5,6.8,4.0,7.4,11.2
5,2610,50,BURLINGTON,LENAPE REGIONAL,Lenape High School,09-12,1:0.6,52.1,100 kbps,No,N,Fiber,No,794,97.8,39.70,38.10,43.5,39.7,37.2,Met Target,832,96.4,55.20,54.30,54.9,55.2,47.5,Met Target,62.7,18.4,6.5,11.3,14.8
5,2610,60,BURLINGTON,LENAPE REGIONAL,Shawnee High School,09-12,1:0.5,52.1,100 kbps,No,N,Fiber,No,684,94.4,45.00,38.10,43.5,44.7,40,Met Target,706,94.7,59.80,54.30,54.9,59.4,48.8,Met Target,91.5,1.9,3.3,3.4,6.0
5,2610,70,BURLINGTON,LENAPE REGIONAL,Seneca High School,09-12,1:0.7,52.1,100 kbps,No,N,Fiber,No,520,96.4,31.80,38.10,43.5,31.8,29.6,Met Target,524,96.6,47.00,54.30,54.9,47,48.2,Met Target†,91.2,3.6,3.1,1.8,10.5
7,2540,50,CAMDEN,LAUREL SPRINGS BORO,Laurel Springs School,PK-06,1:0.9,52.1,100 kbps,No,N,Fiber,No,97,92.4,47.40,47.40,43.5,46.1,49.1,Met Target†,97,92.4,64.00,64.00,54.9,62.1,56.8,Met Target,76.6,9.4,10.4,0.5,34.9
7,680,180,CAMDEN,CAMDEN CITY,Dr. Henry H. Davis Elementary School,PK-08,1:0.9,52.5,100 kbps,No,N,Fiber,No,201,96.7,*,*,43.5,*,11.6,Met Target†,203,98.6,15.80,12.10,54.9,15.8,16.8,Met Target†,0.6,27.5,60.7,10.6,89.7
7,680,301,CAMDEN,CAMDEN CITY,Henry L. Bonsall Family School,PK-08,1:3.0,52.5,100 kbps,No,N,Fiber,No,58,100.0,*,*,43.5,*,5.8,Met Target†,58,100.0,17.20,12.10,54.9,17.2,10.1,Met Target,,83.5,16.5,,89.3
7,680,170,CAMDEN,CAMDEN CITY,Alfred Cramer College Preparatory Lab School,PK-06,1:0.8,52.5,100 kbps,No,N,Fiber,No,189,100.0,22.80,*,43.5,22.8,12.5,Met Target,174,100.0,17.30,12.10,54.9,17.3,16.8,Met Target,,25.4,71.8,2.5,76.8
7,680,165,CAMDEN,CAMDEN CITY,Cooper's Poynt Family School,PK-08,1:0.8,52.5,100 kbps,No,N,Fiber,No,212,92.3,*,*,43.5,*,7.9,Met Target,212,91.1,10.90,12.10,54.9,10.6,14.3,Not Met,0.2,41.3,58.2,,80.7
7,680,30,CAMDEN,CAMDEN CITY,Camden High School,09-12,1:1.0,52.5,100 kbps,No,N,Fiber,No,252,85.9,*,*,43.5,*,4.4,Not Met,204,81.5,*,12.10,54.9,*,5.9,Not Met,0.6,72.2,26.9,0.2,74.4
7,680,205,CAMDEN,CAMDEN CITY,Forest Hill School,KG-05,1:1.0,52.5,100 kbps,No,N,Fiber,No,114,98.3,12.30,*,43.5,12.3,7.1,Met Target,113,98.3,15.00,12.10,54.9,15,10.7,Met Target,,75.0,25.0,,83.1
7,680,145,CAMDEN,CAMDEN CITY,Octavio V. Catto Community Family School,PK-08,1:0.6,52.5,100 kbps,No,N,Fiber,No,377,99.0,15.40,*,43.5,15.4,16,Met Target†,368,96.6,20.90,12.10,54.9,20.9,25.1,Not Met,0.3,15.7,81.3,2.6,84.8
7,680,245,CAMDEN,CAMDEN CITY,Creative Arts Morgan Village Academy,06-12,1:1.3,52.5,100 kbps,No,N,Fiber,No,226,99.1,*,*,43.5,*,12.8,Not Met,226,99.1,21.70,12.10,54.9,21.7,27.8,Not Met,0.3,71.1,28.3,0.3,80.4
7,680,300,CAMDEN,CAMDEN CITY,Harry C. Sharp Elementary School,PK-07,1:0.7,52.5,100 kbps,No,N,Fiber,No,176,96.7,14.20,*,43.5,14.2,23.1,Not Met,172,96.6,25.00,12.10,54.9,25,24.4,Met Target,1.8,15.0,82.0,0.9,87.3
7,680,175,CAMDEN,CAMDEN CITY,Riletta Twyne Cream Family School,PK-08,1:1.5,52.5,100 kbps,No,N,Fiber,No,161,95.3,10.50,*,43.5,10.5,9.7,Met Target,161,97.0,10.50,12.10,54.9,10.5,12.2,Met Target†,,68.4,31.2,0.4,83.2
7,680,305,CAMDEN,CAMDEN CITY,Camden Big Picture Learning Academy,06-12,1:0.4,52.5,100 kbps,No,N,Fiber,No,231,94.7,*,*,43.5,*,5.1,Not Met,233,95.5,*,12.10,54.9,*,10.9,Not Met,0.7,72.3,27.0,,87.2
7,680,190,CAMDEN,CAMDEN CITY,Thomas H. Dudley Family School,PK-08,1:0.6,52.5,100 kbps,No,N,Fiber,No,337,97.4,*,*,43.5,*,12.6,Not Met,328,95.1,12.50,12.10,54.9,12.5,12.7,Met Target†,1.1,25.7,73.2,,90.0
7,680,320,CAMDEN,CAMDEN CITY,Dr. Ulysses S. Wiggins College Preparatory Lab School,PK-08,1:0.1,52.5,100 kbps,No,N,Fiber,No,246,95.7,*,*,43.5,*,12.3,Not Met,247,96.1,10.90,12.10,54.9,10.9,12.7,Met Target†,0.2,41.9,56.0,,86.2
7,680,350,CAMDEN,CAMDEN CITY,Henry B. Wilson Family School,PK-08,1:0.6,52.5,100 kbps,No,N,Fiber,No,327,96.2,*,*,43.5,*,11.3,Not Met,330,97.1,*,12.10,54.9,*,16,Not Met,1.4,68.2,30.2,,85.3
7,680,80,CAMDEN,CAMDEN CITY,Veterans Memorial Family School,PK-08,1:0.4,52.5,100 kbps,No,N,Fiber,No,382,96.7,*,*,43.5,*,11.9,Not Met,342,90.3,*,12.10,54.9,*,12.5,Not Met,0.8,13.1,84.2,0.8,77.4
7,680,360,CAMDEN,CAMDEN CITY,Yorkship Elementary School,PK-08,1:0.6,52.5,100 kbps,No,N,Fiber,No,285,96.7,*,*,43.5,*,7.6,Met Target†,286,97.3,*,12.10,54.9,*,8.6,Met Target†,1.0,65.0,33.5,0.2,92.7
7,680,29,CAMDEN,CAMDEN CITY,Dr. Charles E. Brimm Medical Arts High School,09-12,1:1.4,52.5,100 kbps,No,N,Fiber,No,92,97.9,*,*,43.5,*,13.4,Not Met,92,97.9,29.40,12.10,54.9,29.4,47.7,Not Met,0.5,61.9,34.5,3.1,87.6
7,680,310,CAMDEN,CAMDEN CITY,Charles Sumner Elementary School,PK-06,1:1.0,52.5,100 kbps,No,N,Fiber,No,102,95.4,*,*,43.5,*,6.4,Met Target,94,94.1,*,12.10,54.9,*,7.7,Not Met,0.4,47.3,51.5,0.8,81.8
7,680,40,CAMDEN,CAMDEN CITY,Woodrow Wilson High School,09-12,1:0.1,52.5,100 kbps,No,N,Fiber,No,300,71.6,*,*,43.5,*,4.5,Not Met,218,58.5,*,12.10,54.9,*,4.8,Not Met,0.6,30.2,68.4,0.8,66.9
80,6094,968,CHARTERS,Phillip's Academy Charter School,Phillip's Academy Charter School,KG-08,1:0.2,54.2,100 kbps,No,N,Fiber,No,216,95.5,39.80,39.80,43.5,39.8,42.9,Met Target†,216,95.5,49.10,49.10,54.9,49.1,49.3,Met Target†,1.6,84.8,9.5,0.5,41.7
5,5805,57,BURLINGTON,WILLINGBORO TWP,WILLINGBORO MEMORIAL MIDDLE SCHOOL,06-08,1:0.2,54.4,100 kbps,No,N,Fiber,No,666,96.4,15.50,20.30,43.5,15.5,18.4,Not Met,657,93.3,22.30,30.70,54.9,22.1,25.9,Not Met,2.1,88.1,8.3,0.8,62.5
5,5805,64,BURLINGTON,WILLINGBORO TWP,GARFIELD EAST ELEMENTARY SCHOOL,PK-05,1:0.1,54.4,100 kbps,No,N,Fiber,No,143,96.1,16.80,20.30,43.5,16.8,20.1,Met Target†,142,96.1,24.60,30.70,54.9,24.6,25.4,Met Target†,3.6,81.4,11.9,1.4,59.7
5,5805,65,BURLINGTON,WILLINGBORO TWP,HAWTHORNE PARK ELELMENTARY SCHOOL,PK-05,1:0.1,54.4,100 kbps,No,N,Fiber,No,187,97.4,31.00,20.30,43.5,31,37.2,Not Met,190,95.0,47.90,30.70,54.9,47.9,43.8,Met Target,4.3,81.4,10.5,0.4,61.3
5,5805,80,BURLINGTON,WILLINGBORO TWP,W. R. JAMES SR. ELEMENTARY SCHOOL,PK-05,1:0.1,54.4,100 kbps,No,N,Fiber,No,185,98.7,27.50,20.30,43.5,27.5,24.7,Met Target,185,98.6,42.20,30.70,54.9,42.2,36.3,Met Target,1.8,76.2,16.8,3.8,66.8
5,5805,53,BURLINGTON,WILLINGBORO TWP,WILLINGBORO HIGH SCHOOL,09-12,1:0.2,54.4,100 kbps,No,N,Fiber,No,243,98.1,*,20.30,43.5,*,6.5,Not Met,226,84.5,15.50,30.70,54.9,13.7,14.3,Met Target†,1.4,90.4,6.0,1.6,59.3
5,5805,90,BURLINGTON,WILLINGBORO TWP,J. C. STUART ELEMENTARY SCHOOL,PK-05,1:0.1,54.4,100 kbps,No,N,Fiber,No,184,99.1,25.00,20.30,43.5,25,30.7,Not Met,185,98.6,35.70,30.70,54.9,35.7,31.2,Met Target,3.0,82.8,10.4,1.3,55.1
5,5805,120,BURLINGTON,WILLINGBORO TWP,TWIN HILLS ELEMENTARY SCHOOL,PK-05,1:0.1,54.4,100 kbps,No,N,Fiber,No,164,100.0,44.50,20.30,43.5,44.5,43.1,Met Target,162,98.9,52.50,30.70,54.9,52.5,56.2,Met Target†,3.4,86.8,6.1,2.6,52.6
80,6021,905,CHARTERS,Community Charter School of Paterso,Community Charter School of Paterson,KG-08,1:0.6,55.6,100 kbps,No,N,Fiber,No,590,98.8,25.90,25.90,43.5,25.9,26.8,Met Target†,590,99.0,44.30,44.30,54.9,44.3,42.1,Met Target,1.3,33.4,64.0,1.1,86.7
1,1960,60,ATLANTIC,HAMMONTON TOWN,Hammonton Middle School,06-08,1:0.6,56.0,100 kbps,No,Fiber,Fiber,Yes,856,98.1,42.40,43.20,43.5,42.4,42.9,Met Target†,856,98.1,52.30,51.50,54.9,52.3,54.3,Met Target†,69.0,2.9,25.5,0.9,42.0
1,1960,50,ATLANTIC,HAMMONTON TOWN,Hammonton High School,09-12,1:0.3,56.0,100 kbps,No,Fiber,Fiber,Yes,622,98.2,38.30,43.20,43.5,38.3,42.4,Not Met,624,98.7,53.60,51.50,54.9,53.6,60.4,Not Met,74.1,4.7,18.9,0.6,36.3
1,1960,55,ATLANTIC,HAMMONTON TOWN,Warren E. Sooy Jr. Elementary School,PK-05,1:0.4,56.0,100 kbps,No,Fiber,Fiber,Yes,562,99.0,49.80,43.20,43.5,49.8,42.6,Met Target,563,99.2,47.90,51.50,54.9,47.9,44.5,Met Target,59.2,2.6,36.6,0.4,53.9
7,1720,20,CAMDEN,GIBBSBORO BORO,Gibbsboro Elementary School,PK-08,1:0.2,58.4,100 kbps,No,N,Fiber,No,164,97.2,45.70,45.70,43.5,45.7,51,Met Target†,165,97.8,43.10,43.10,54.9,43.1,47.7,Met Target†,78.2,2.3,12.1,4.3,17.1
29,2360,40,OCEAN,JACKSON TWP,Sylvia Rosenauer Elementary School,PK-05,1:0.7,58.7,100 kbps,No,N,Fiber,No,151,98.7,72.20,48.60,43.5,72.2,52.3,Met Target,148,98.7,58.10,54.80,54.9,58.1,62.3,Met Target†,64.1,6.4,25.1,1.9,42.5
29,2360,44,OCEAN,JACKSON TWP,Howard C. Johnson Elementary School,KG-05,1:0.7,58.7,100 kbps,No,N,Fiber,No,236,97.1,66.50,48.60,43.5,66.5,56.7,Met Target,236,97.1,56.70,54.80,54.9,56.7,60.3,Met Target†,81.8,4.1,8.6,4.3,15.4
